"Site Crawled","https://bgoonz-blog.netlify.app/"
"Date","2022-01-04"
"Time","03:00:47"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","500","100.00%","500","URLs Encountered"
"Total URLs Crawled","491","98.20%","500","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","500","URLs Encountered"
"Total External blocked by robots.txt","9","1.80%","500","URLs Encountered"
""
"URLs Displayed","500","100.00%","500","URLs Displayed"
"Total Internal URLs","209","41.80%","500","URLs Displayed"
"Total External URLs","291","58.20%","500","URLs Displayed"
"Total Internal Indexable URLs","177","35.40%","500","URLs Displayed"
"Total Internal Non-Indexable URLs","32","6.40%","500","URLs Displayed"
""
"Internal"
"All","209","100.00%","209","Internal URLs"
"HTML","206","98.56%","209","Internal URLs"
"JavaScript","0","0.00%","209","Internal URLs"
"CSS","0","0.00%","209","Internal URLs"
"Images","1","0.48%","209","Internal URLs"
"PDF","0","0.00%","209","Internal URLs"
"Flash","0","0.00%","209","Internal URLs"
"Other","2","0.96%","209","Internal URLs"
"Unknown","0","0.00%","209","Internal URLs"
""
"External"
"All","291","100.00%","291","External URLs"
"HTML","200","68.73%","291","External URLs"
"JavaScript","0","0.00%","291","External URLs"
"CSS","7","2.41%","291","External URLs"
"Images","41","14.09%","291","External URLs"
"PDF","0","0.00%","291","External URLs"
"Flash","0","0.00%","291","External URLs"
"Other","34","11.68%","291","External URLs"
"Unknown","9","3.09%","291","External URLs"
""
"Security"
"All","209","100.00%","209","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","209","All internal and non-HTML external URLs"
"HTTPS URLs","209","100.00%","209","All internal and non-HTML external URLs"
"Mixed Content","3","1.44%","209","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","209","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","209","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","176","84.21%","209","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","176","84.21%","209","All internal and non-HTML external URLs"
"Missing HSTS Header","176","84.21%","209","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","177","84.69%","209","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","177","84.69%","209","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","177","84.69%","209","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","177","84.69%","209","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","209","All internal and non-HTML external URLs"
""
"Response Codes"
"All","500","100.00%","500","All Crawled URLs"
"Blocked by Robots.txt","9","1.80%","500","All Crawled URLs"
"Blocked Resource","0","0.00%","500","All Crawled URLs"
"No Response","25","5.00%","500","All Crawled URLs"
"Success (2xx)","399","79.80%","500","All Crawled URLs"
"Redirection (3xx)","37","7.40%","500","All Crawled URLs"
"Redirection (JavaScript)","0","0.00%","500","All Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","500","All Crawled URLs"
"Client Error (4xx)","29","5.80%","500","All Crawled URLs"
"Server Error (5xx)","0","0.00%","500","All Crawled URLs"
""
"URL"
"All","209","100.00%","209","Internal URLs"
"Non ASCII Characters","0","0.00%","209","Internal URLs"
"Underscores","3","1.44%","209","Internal URLs"
"Uppercase","11","5.26%","209","Internal URLs"
"Multiple Slashes","0","0.00%","209","Internal URLs"
"Repetitive Path","18","8.61%","209","Internal URLs"
"Contains Space","2","0.96%","209","Internal URLs"
"Internal Search","0","0.00%","209","Internal URLs"
"Parameters","1","0.48%","209","Internal URLs"
"Broken Bookmark","0","0.00%","209","Internal URLs"
"Over 115 Characters","0","0.00%","209","Internal URLs"
""
"Page Titles"
"All","176","100.00%","176","Internal HTML pages with 2xx response"
"Missing","0","0.00%","176","Internal HTML pages with 2xx response"
"Duplicate","19","10.80%","176","Internal HTML pages with 2xx response"
"Over 60 Characters","3","1.70%","176","Internal HTML pages with 2xx response"
"Below 30 Characters","133","75.57%","176","Internal HTML pages with 2xx response"
"Over 554 Pixels","6","3.41%","176","Internal HTML pages with 2xx response"
"Below 200 Pixels","67","38.07%","176","Internal HTML pages with 2xx response"
"Same as H1","36","20.45%","176","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","176","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","176","100.00%","176","Internal HTML pages with 2xx response"
"Missing","0","0.00%","176","Internal HTML pages with 2xx response"
"Duplicate","176","100.00%","176","Internal HTML pages with 2xx response"
"Over 155 Characters","11","6.25%","176","Internal HTML pages with 2xx response"
"Below 70 Characters","176","100.00%","176","Internal HTML pages with 2xx response"
"Over 1,005 Pixels","10","5.68%","176","Internal HTML pages with 2xx response"
"Below 400 Pixels","176","100.00%","176","Internal HTML pages with 2xx response"
"Multiple","176","100.00%","176","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","176","100.00%","176","Internal HTML pages with 2xx response"
"Missing","0","0.00%","176","Internal HTML pages with 2xx response"
"Duplicate","176","100.00%","176","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","176","Internal HTML pages with 2xx response"
""
"H1"
"All","176","100.00%","176","Internal HTML pages with 2xx response"
"Missing","0","0.00%","176","Internal HTML pages with 2xx response"
"Duplicate","45","25.57%","176","Internal HTML pages with 2xx response"
"Over 70 Characters","4","2.27%","176","Internal HTML pages with 2xx response"
"Multiple","96","54.55%","176","Internal HTML pages with 2xx response"
""
"H2"
"All","176","100.00%","176","Internal HTML pages with 2xx response"
"Missing","1","0.57%","176","Internal HTML pages with 2xx response"
"Duplicate","114","64.77%","176","Internal HTML pages with 2xx response"
"Over 70 Characters","3","1.70%","176","Internal HTML pages with 2xx response"
"Multiple","110","62.50%","176","Internal HTML pages with 2xx response"
""
"Content"
"All","176","100.00%","176","Content in URL"
"Exact Duplicates","0","0.00%","176","Content in URL"
"Near Duplicates","0","0.00%","176","Content in URL"
"Low Content Pages","45","25.57%","176","Content in URL"
"Spelling Errors","0","0.00%","176","Content in URL"
"Grammar Errors","0","0.00%","176","Content in URL"
""
"Images"
"All","42","100.00%","42","Images with 2xx response"
"Over 100 KB","13","30.95%","42","Images with 2xx response"
"Missing Alt Text","6","14.29%","42","Images with 2xx response"
"Missing Alt Attribute","4","9.52%","42","Images with 2xx response"
"Alt Text Over 100 Characters","0","0.00%","42","Images with 2xx response"
""
"Canonicals"
"All","176","100.00%","176","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","0","0.00%","176","Internal HTML or PDF pages with 2xx response"
"Self Referencing","0","0.00%","176","Internal HTML or PDF pages with 2xx response"
"Canonicalised","0","0.00%","176","Internal HTML or PDF pages with 2xx response"
